,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 18:00:00,243.0,247.5,256.5,256.5,270.0,247.5,243.0,256.5,247.5,229.5,270.0,279.0,274.5,256.5,283.5,270.0,265.5,252.0,220.5,256.5,238.5,256.5,256.5,265.5,238.5,247.5,243.0,261.0,238.5,243.0,261.0,238.5
2017-07-03 18:05:00,241.2,238.5,223.2,216.0,252.0,244.8,252.0,247.5,243.0,230.4,261.0,270.0,256.5,261.0,270.0,265.5,252.0,230.4,252.0,248.4,244.8,234.0,234.0,244.8,234.0,216.0,229.5,252.0,252.0,252.0,238.5,234.0
2017-07-03 18:10:00,256.5,255.6,252.0,229.5,256.5,261.0,261.0,262.8,248.4,238.5,261.0,279.0,252.0,270.0,270.0,265.5,238.5,252.0,256.5,252.0,247.5,256.5,252.0,265.5,256.5,237.6,252.0,262.8,255.6,262.8,255.6,237.6
2017-07-03 18:15:00,247.5,243.0,238.5,225.0,243.0,252.0,238.5,238.5,243.0,229.5,270.0,270.0,270.0,256.5,274.5,274.5,252.0,247.5,225.0,238.5,243.0,252.0,243.0,229.5,238.5,216.0,220.5,238.5,247.5,252.0,243.0,238.5
2017-07-03 18:20:00,256.5,265.5,270.0,252.0,256.5,274.5,270.0,256.5,247.5,220.5,266.4,262.8,252.0,262.8,273.6,273.6,234.0,252.0,252.0,238.5,238.5,261.0,256.5,265.5,234.0,243.0,229.5,238.5,261.0,256.5,252.0,234.0
2017-07-03 18:25:00,238.5,256.5,252.0,229.5,247.5,252.0,243.0,252.0,243.0,256.5,265.5,274.5,256.5,261.0,274.5,261.0,247.5,238.5,243.0,247.5,252.0,243.0,243.0,252.0,238.5,225.0,225.0,252.0,243.0,256.5,252.0,216.0
2017-07-03 18:30:00,256.5,261.0,270.0,238.5,256.5,261.0,238.5,252.0,261.0,252.0,261.0,274.5,270.0,274.5,279.0,279.0,256.5,252.0,256.5,252.0,252.0,225.0,243.0,261.0,252.0,229.5,229.5,252.0,252.0,256.5,256.5,247.5
2017-07-03 18:35:00,243.0,261.0,243.0,229.5,252.0,243.0,238.5,252.0,261.0,252.0,270.0,274.5,252.0,279.0,270.0,265.5,220.5,243.0,252.0,261.0,243.0,234.0,252.0,252.0,238.5,229.5,225.0,243.0,234.0,252.0,252.0,243.0
2017-07-03 18:40:00,252.0,243.0,243.0,261.0,256.5,243.0,256.5,252.0,252.0,252.0,270.0,279.0,279.0,274.5,279.0,265.5,243.0,243.0,252.0,247.5,247.5,238.5,247.5,252.0,252.0,238.5,243.0,252.0,256.5,252.0,234.0,234.0
2017-07-03 18:45:00,243.0,238.5,261.0,261.0,265.5,261.0,229.5,261.0,256.5,247.5,283.5,274.5,247.5,274.5,270.0,270.0,252.0,247.5,247.5,261.0,238.5,243.0,252.0,261.0,229.5,243.0,247.5,252.0,247.5,261.0,234.0,243.0
2017-07-03 18:50:00,252.0,256.5,252.0,238.5,256.5,252.0,256.5,252.0,256.5,247.5,270.0,270.0,256.5,252.0,256.5,270.0,229.5,247.5,234.0,252.0,252.0,256.5,238.5,247.5,234.0,247.5,234.0,243.0,252.0,247.5,252.0,229.5
2017-07-03 18:55:00,238.5,256.5,261.0,252.0,252.0,270.0,265.5,270.0,247.5,247.5,279.0,265.5,256.5,265.5,274.5,265.5,252.0,256.5,256.5,243.0,247.5,252.0,238.5,247.5,225.0,229.5,238.5,261.0,238.5,256.5,256.5,229.5
2017-07-03 19:00:00,225.0,220.5,216.0,211.5,229.5,220.5,220.5,225.0,225.0,216.0,247.5,252.0,225.0,243.0,234.0,243.0,229.5,229.5,211.5,238.5,234.0,225.0,225.0,238.5,220.5,216.0,216.0,225.0,211.5,220.5,225.0,207.0
2017-07-03 19:05:00,252.0,252.0,256.5,247.5,265.5,247.5,243.0,243.0,252.0,247.5,274.5,274.5,256.5,279.0,274.5,270.0,252.0,238.5,252.0,252.0,243.0,261.0,247.5,252.0,252.0,243.0,252.0,256.5,252.0,256.5,252.0,234.0
2017-07-03 19:10:00,238.5,247.5,243.0,243.0,243.0,252.0,243.0,243.0,243.0,252.0,274.5,270.0,252.0,279.0,270.0,265.5,247.5,247.5,243.0,256.5,238.5,247.5,229.5,256.5,243.0,238.5,225.0,243.0,252.0,256.5,252.0,234.0
2017-07-03 19:15:00,256.5,252.0,243.0,247.5,247.5,243.0,252.0,252.0,243.0,247.5,274.5,270.0,265.5,270.0,274.5,265.5,256.5,252.0,252.0,252.0,252.0,243.0,234.0,252.0,238.5,243.0,243.0,252.0,252.0,247.5,252.0,243.0
2017-07-03 19:20:00,247.5,252.0,261.0,247.5,243.0,265.5,252.0,256.5,261.0,252.0,283.5,274.5,265.5,270.0,279.0,265.5,261.0,234.0,265.5,238.5,243.0,256.5,247.5,252.0,211.5,238.5,238.5,229.5,261.0,256.5,256.5,234.0
2017-07-03 19:25:00,238.5,256.5,252.0,247.5,252.0,243.0,252.0,243.0,261.0,252.0,274.5,265.5,274.5,274.5,256.5,270.0,252.0,243.0,252.0,238.5,243.0,238.5,243.0,252.0,238.5,234.0,229.5,261.0,261.0,256.5,252.0,220.5
